Name,Height,Pos,Team,Weight,cluster
JaVale McGee,210.0,C,PHI,121.5,2
Jeff Adrien,197.5,PF,MIN,110.25,0
Jeff Ayres,202.5,PF,SAS,108.0,0
Jeff Green,202.5,SF,MEM,105.75,0
Jeff Teague,185.0,PG,ATL,83.7,3
Jeffery Taylor,197.5,SF,CHA,101.25,4
Jerami Grant,200.0,SF,PHI,94.5,4
Jerel McNeal,187.5,PG,PHO,90.0,1
Jeremy Evans,202.5,SF,UTA,90.0,4
Jeremy Lamb,192.5,SG,OKC,83.25,1
Jeremy Lin,187.5,PG,LAL,90.0,1
Jerome Jordan,210.0,C,NJN,113.85,2
Jerrelle Benimon,200.0,PF,UTA,110.25,0
Jerryd Bayless,187.5,PG,MIL,90.0,1
Jimmer Fredette,185.0,PG,NOH,87.75,1
Jimmy Butler,197.5,SG,CHI,99.0,4
JJ Hickson,202.5,C,DEN,108.9,0
JJ Redick,190.0,SG,LAC,85.5,1
Joakim Noah,207.5,C,CHI,103.5,0
Jodie Meeks,190.0,SG,DET,94.5,4
Joe Harris,195.0,SG,CLE,98.55,4
Joe Ingles,200.0,SF,UTA,101.7,0
Joe Johnson,197.5,SG,NJN,108.0,0
Joel Anthony,202.5,C,DET,110.25,0
Joel Freeland,205.0,C,POR,112.5,2
Joey Dorsey,200.0,PF,HOU,120.6,2
Joffrey Lauvergne,207.5,C,DEN,99.0,0
John Henson,207.5,C,MIL,103.05,0
John Jenkins,190.0,SG,ATL,96.75,4
John Lucas III,177.5,PG,DET,74.7,3
Johnny O'Bryant III,202.5,PF,MIL,115.65,2
Jon Leuer,205.0,PF,MEM,102.6,0
Jonas Jerebko,205.0,PF,DET,103.95,0
Jonas Valanciunas,210.0,C,TOR,119.25,2
Jordan Adams,192.5,SG,MEM,94.05,4
Jordan Clarkson,192.5,PG,LAL,87.3,1
Jordan Farmar,185.0,PG,LAC,81.0,3
Jordan Hamilton,197.5,SF,LAC,99.0,4
Jordan Hill,205.0,C,LAL,105.75,0
Jorge Gutierrez,187.5,PG,MIL,85.95,1
Jose Calderon,187.5,PG,NYK,90.0,1
Josh McRoberts,205.0,PF,MIA,108.0,0
JR Smith,195.0,SG,NYK,101.25,4
Jrue Holiday,190.0,PG,NOH,92.25,1
Julius Randle,202.5,PF,LAL,112.5,2
Justin Hamilton,210.0,C,MIN,117.0,2
Justin Holiday,195.0,SG,GSW,83.25,1
Kalin Lucas,182.5,PG,MEM,87.75,1
Kawhi Leonard,197.5,SF,SAS,103.5,0
Kelly Olynyk,210.0,C,BOS,107.1,0
Kemba Walker,182.5,PG,CHA,77.4,3
Kendall Marshall,190.0,PG,MIL,90.0,1
Kendrick Perkins,205.0,C,OKC,121.5,2
Kenneth Faried,200.0,PF,DEN,102.6,0
Kent Bazemore,192.5,SG,ATL,90.45,1
Kentavious Caldwell-Pope,192.5,SG,DET,92.25,4
Kenyon Martin,202.5,PF,MIL,105.3,0
Kevin Durant,202.5,SF,OKC,108.0,0
Kevin Garnett,207.5,PF,MIN,108.0,0
Kevin Love,205.0,PF,CLE,112.95,2
Kevin Martin,197.5,SG,MIN,89.55,4
Kevin Seraphin,202.5,C,WAS,128.25,2
Khris Middleton,200.0,SF,MIL,105.3,0
Kirk Hinrich,190.0,SG,CHI,85.5,1
KJ McDaniels,195.0,SG,PHI,92.25,4
Klay Thompson,197.5,SG,GSW,96.75,4
Kobe Bryant,195.0,SG,LAL,95.4,4
Kosta Koufos,210.0,C,MEM,119.25,2
Kostas Papanikolaou,200.0,SF,HOU,101.25,0
Kris Humphries,202.5,PF,WAS,105.75,0
Kyle Anderson,202.5,SF,SAS,103.5,0
